
2024/10/16 (02:28:21) | ===> btop++ v.1.4.0
2024/10/16 (02:28:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/16 (12:27:09) | ===> btop++ v.1.4.0
2024/10/16 (12:27:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (18:48:46) | ===> btop++ v.1.4.0
2024/10/18 (18:48:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/27 (10:48:51) | ===> btop++ v.1.4.0
2024/10/27 (10:48:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/27 (10:57:47) | ===> btop++ v.1.4.0
2024/10/27 (10:57:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/06 (19:10:34) | ===> btop++ v.1.4.0
2024/11/06 (19:10:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/19 (19:45:01) | ===> btop++ v.1.4.0
2024/11/19 (19:45:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/19 (19:45:16) | ===> btop++ v.1.4.0
2024/11/19 (19:45:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/22 (00:51:23) | ===> btop++ v.1.4.0
2024/11/22 (00:51:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/02 (20:49:05) | ===> btop++ v.1.4.0
2024/12/02 (20:49:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/03 (22:50:19) | ===> btop++ v.1.4.0
2024/12/03 (22:50:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/05 (09:35:55) | ===> btop++ v.1.4.0
2024/12/05 (09:35:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/07 (09:35:30) | ===> btop++ v.1.4.0
2024/12/07 (09:35:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/07 (09:36:07) | ===> btop++ v.1.4.0
2024/12/07 (09:36:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/07 (09:36:26) | ===> btop++ v.1.4.0
2024/12/07 (09:36:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/07 (09:39:09) | ===> btop++ v.1.4.0
2024/12/07 (09:39:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/07 (09:40:32) | ===> btop++ v.1.4.0
2024/12/07 (09:40:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/07 (09:44:36) | ===> btop++ v.1.4.0
2024/12/07 (09:44:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/07 (09:45:11) | ===> btop++ v.1.4.0
2024/12/07 (09:45:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/07 (09:45:14) | ===> btop++ v.1.4.0
2024/12/07 (09:45:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/07 (09:46:10) | ===> btop++ v.1.4.0
2024/12/07 (09:46:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/07 (09:46:12) | ===> btop++ v.1.4.0
2024/12/07 (09:46:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/07 (09:49:27) | ===> btop++ v.1.4.0
2024/12/07 (09:49:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/07 (09:50:13) | ===> btop++ v.1.4.0
2024/12/07 (09:50:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/07 (09:50:21) | ===> btop++ v.1.4.0
2024/12/07 (09:50:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/07 (09:51:13) | ===> btop++ v.1.4.0
2024/12/07 (09:51:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/07 (09:51:51) | ===> btop++ v.1.4.0
2024/12/07 (09:51:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/12 (17:10:20) | ===> btop++ v.1.4.0
2024/12/12 (17:10:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/14 (16:56:06) | ===> btop++ v.1.4.0
2024/12/14 (16:56:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/14 (16:56:17) | ===> btop++ v.1.4.0
2024/12/14 (16:56:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/14 (23:19:51) | ===> btop++ v.1.4.0
2024/12/14 (23:19:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/14 (23:30:46) | ===> btop++ v.1.4.0
2024/12/14 (23:30:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/14 (23:34:49) | ===> btop++ v.1.4.0
2024/12/14 (23:34:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/14 (23:35:27) | ===> btop++ v.1.4.0
2024/12/14 (23:35:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/18 (01:45:30) | ===> btop++ v.1.4.0
2024/12/18 (01:45:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/18 (01:45:58) | ===> btop++ v.1.4.0
2024/12/18 (01:45:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/19 (22:58:34) | ===> btop++ v.1.4.0
2024/12/19 (22:58:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/20 (17:04:38) | ===> btop++ v.1.4.0
2024/12/20 (17:04:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/21 (02:25:35) | ===> btop++ v.1.4.0
2024/12/21 (02:25:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/22 (17:20:04) | ===> btop++ v.1.4.0
2024/12/22 (17:20:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/30 (03:19:44) | ===> btop++ v.1.4.0
2024/12/30 (03:19:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/03 (17:23:35) | ===> btop++ v.1.4.0
2025/01/03 (17:23:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/04 (13:21:13) | ===> btop++ v.1.4.0
2025/01/04 (13:21:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/04 (13:22:30) | ===> btop++ v.1.4.0
2025/01/04 (13:22:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/08 (23:12:05) | ===> btop++ v.1.4.0
2025/01/08 (23:12:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/09 (00:25:37) | ===> btop++ v.1.4.0
2025/01/09 (00:25:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/14 (17:17:46) | ===> btop++ v.1.4.0
2025/01/14 (17:17:46) | WARNING: Intel GPU: Failed to initialize PMU
